freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.482e+02,1.010e+01,1.515e+01,7.735e+02
1.5,4.430e+02,1.857e+01,3.046e+01,4.920e+02
3.0,3.308e+01,1.938e+01,2.994e+01,8.240e+01
4.6,3.060e+02,1.996e+01,3.189e+01,3.579e+02
6.1,1.146e+03,1.947e+01,3.248e+01,1.198e+03
7.6,1.890e+03,2.074e+01,3.639e+01,1.947e+03
9.1,2.759e+03,2.209e+01,3.707e+01,2.818e+03
10.6,3.730e+03,2.172e+01,4.047e+01,3.792e+03
12.1,4.780e+03,2.018e+01,3.735e+01,4.838e+03
13.7,6.118e+03,1.937e+01,3.395e+01,6.171e+03
15.2,7.881e+03,2.088e+01,3.144e+01,7.934e+03
16.7,9.986e+03,2.099e+01,3.289e+01,1.004e+04
18.2,1.230e+04,2.177e+01,3.517e+01,1.235e+04
19.7,1.517e+04,2.332e+01,3.379e+01,1.522e+04
21.3,1.855e+04,2.335e+01,3.376e+01,1.861e+04
22.8,2.273e+04,2.247e+01,3.339e+01,2.278e+04
24.3,2.629e+04,2.417e+01,3.300e+01,2.634e+04
25.8,2.863e+04,3.525e+01,3.006e+01,2.870e+04
27.3,3.343e+04,5.303e+01,3.458e+01,3.351e+04
28.8,3.979e+04,7.287e+01,5.072e+01,3.991e+04
30.4,4.822e+04,1.135e+02,8.176e+01,4.841e+04
31.9,5.655e+04,1.568e+02,1.255e+02,5.683e+04
33.4,6.234e+04,1.768e+02,2.242e+02,6.275e+04
34.9,7.276e+04,2.218e+02,3.599e+02,7.334e+04
36.4,8.675e+04,2.642e+02,5.517e+02,8.757e+04
38.0,1.041e+05,3.284e+02,8.761e+02,1.053e+05
39.5,1.276e+05,4.727e+02,1.462e+03,1.295e+05
41.0,1.595e+05,4.793e+02,1.848e+03,1.618e+05
42.5,1.997e+05,3.291e+02,1.746e+03,2.018e+05
44.0,2.455e+05,2.447e+02,1.746e+03,2.475e+05
45.5,2.953e+05,1.747e+02,1.541e+03,2.970e+05
47.1,3.619e+05,1.366e+02,1.171e+03,3.632e+05
48.6,4.721e+05,1.954e+02,9.883e+02,4.733e+05
50.1,6.515e+05,3.151e+02,1.552e+03,6.534e+05
51.6,8.834e+05,5.971e+02,3.423e+03,8.875e+05
53.1,1.171e+06,1.528e+03,6.043e+03,1.179e+06
54.6,1.383e+06,1.432e+03,4.594e+03,1.389e+06
56.2,1.973e+06,2.227e+03,2.996e+03,1.978e+06
57.7,2.808e+06,3.218e+03,6.004e+03,2.818e+06
59.2,2.925e+06,1.755e+03,6.613e+03,2.933e+06
60.7,2.448e+06,2.492e+03,4.449e+03,2.455e+06
62.2,1.868e+06,4.190e+03,2.119e+03,1.875e+06
63.8,1.514e+06,5.054e+03,2.472e+03,1.522e+06
65.3,1.343e+06,6.766e+03,7.553e+03,1.357e+06
66.8,1.181e+06,9.250e+03,1.493e+04,1.205e+06
68.3,1.004e+06,1.077e+04,2.079e+04,1.035e+06
69.8,8.099e+05,1.076e+04,2.258e+04,8.432e+05
71.3,6.086e+05,9.135e+03,2.055e+04,6.383e+05
72.9,4.463e+05,9.026e+03,1.957e+04,4.749e+05
74.4,3.357e+05,1.138e+04,2.031e+04,3.673e+05
75.9,2.678e+05,1.320e+04,1.970e+04,3.008e+05
77.4,2.248e+05,1.205e+04,1.596e+04,2.528e+05
78.9,2.005e+05,1.040e+04,1.153e+04,2.225e+05
80.5,1.709e+05,6.709e+03,6.168e+03,1.838e+05
82.0,1.509e+05,3.490e+03,2.842e+03,1.573e+05
83.5,1.332e+05,1.523e+03,1.994e+03,1.367e+05
85.0,1.210e+05,1.013e+03,2.000e+03,1.240e+05
86.5,1.282e+05,1.179e+03,1.853e+03,1.312e+05
88.0,1.451e+05,1.655e+03,1.574e+03,1.483e+05
89.6,1.585e+05,2.525e+03,1.158e+03,1.621e+05
91.1,1.712e+05,5.713e+03,1.051e+03,1.779e+05
92.6,2.008e+05,1.177e+04,3.089e+03,2.157e+05
94.1,2.381e+05,1.990e+04,7.268e+03,2.652e+05
95.6,2.609e+05,2.531e+04,1.057e+04,2.968e+05
97.2,2.659e+05,2.456e+04,1.133e+04,3.017e+05
98.7,2.720e+05,1.957e+04,1.042e+04,3.020e+05
100.2,2.996e+05,1.452e+04,9.454e+03,3.236e+05
101.7,3.271e+05,1.004e+04,8.282e+03,3.454e+05
103.2,3.393e+05,6.187e+03,6.666e+03,3.521e+05
104.7,3.225e+05,4.083e+03,5.578e+03,3.322e+05
106.3,3.274e+05,2.851e+03,5.293e+03,3.355e+05
107.8,3.412e+05,1.557e+03,4.617e+03,3.474e+05
109.3,3.286e+05,9.185e+02,3.940e+03,3.335e+05
110.8,3.345e+05,8.895e+02,3.324e+03,3.387e+05
112.3,3.158e+05,1.055e+03,2.688e+03,3.195e+05
113.9,2.949e+05,1.235e+03,2.507e+03,2.986e+05
115.4,2.791e+05,1.465e+03,2.693e+03,2.833e+05
