freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.226e+01,1.845e+01,1.079e+03,1.130e+03
1.5,4.393e+01,3.631e+01,6.406e+02,7.208e+02
3.0,3.292e+01,3.781e+01,4.648e+01,1.172e+02
4.5,3.977e+01,3.550e+01,3.103e+02,3.855e+02
6.0,3.787e+01,3.591e+01,1.226e+03,1.300e+03
7.5,3.437e+01,4.980e+01,2.030e+03,2.114e+03
9.0,3.137e+01,6.371e+01,2.982e+03,3.077e+03
10.5,4.208e+01,5.894e+01,3.642e+03,3.743e+03
12.0,4.091e+01,4.475e+01,4.825e+03,4.911e+03
13.5,3.863e+01,4.049e+01,6.928e+03,7.007e+03
15.0,4.785e+01,4.183e+01,9.441e+03,9.530e+03
16.5,4.489e+01,4.123e+01,1.235e+04,1.244e+04
18.0,4.960e+01,4.528e+01,1.575e+04,1.584e+04
19.5,4.701e+01,4.463e+01,2.016e+04,2.025e+04
21.0,5.671e+01,4.919e+01,2.571e+04,2.581e+04
22.5,6.689e+01,5.229e+01,3.281e+04,3.293e+04
24.0,7.990e+01,5.257e+01,4.278e+04,4.291e+04
25.5,1.032e+02,6.010e+01,5.595e+04,5.611e+04
27.0,1.388e+02,6.020e+01,7.498e+04,7.518e+04
28.6,2.114e+02,6.124e+01,1.045e+05,1.048e+05
30.1,3.256e+02,7.288e+01,1.456e+05,1.460e+05
31.6,6.281e+02,1.488e+02,2.042e+05,2.049e+05
33.1,1.136e+03,4.140e+02,2.906e+05,2.922e+05
34.6,1.916e+03,1.295e+03,4.386e+05,4.418e+05
36.1,3.473e+03,4.224e+03,7.895e+05,7.972e+05
37.6,6.047e+03,1.259e+04,1.506e+06,1.525e+06
39.1,9.100e+03,2.667e+04,2.762e+06,2.798e+06
40.6,9.254e+03,3.447e+04,3.733e+06,3.777e+06
42.1,6.299e+03,2.974e+04,3.485e+06,3.521e+06
43.6,3.419e+03,2.274e+04,2.712e+06,2.738e+06
45.1,1.688e+03,1.864e+04,1.900e+06,1.920e+06
46.6,9.208e+02,1.578e+04,1.283e+06,1.300e+06
48.1,6.853e+02,1.097e+04,7.878e+05,7.995e+05
49.6,9.595e+02,6.445e+03,4.438e+05,4.512e+05
51.1,1.874e+03,4.179e+03,2.563e+05,2.624e+05
52.6,3.672e+03,3.950e+03,1.624e+05,1.700e+05
54.1,6.203e+03,5.220e+03,1.353e+05,1.467e+05
55.6,6.810e+03,6.236e+03,1.239e+05,1.370e+05
57.1,5.418e+03,6.695e+03,1.045e+05,1.166e+05
58.6,4.395e+03,7.713e+03,7.821e+04,9.031e+04
60.1,5.165e+03,9.661e+03,6.017e+04,7.499e+04
61.6,6.711e+03,1.187e+04,5.261e+04,7.119e+04
63.1,7.310e+03,1.252e+04,4.849e+04,6.832e+04
64.6,6.978e+03,1.208e+04,4.184e+04,6.090e+04
66.1,1.441e+04,1.535e+04,3.781e+04,6.757e+04
67.6,3.089e+04,1.844e+04,4.147e+04,9.080e+04
69.1,4.542e+04,1.737e+04,5.103e+04,1.138e+05
70.6,5.993e+04,1.436e+04,6.527e+04,1.396e+05
72.1,7.481e+04,1.003e+04,8.311e+04,1.680e+05
73.6,8.763e+04,6.145e+03,1.002e+05,1.940e+05
75.1,9.157e+04,3.951e+03,1.077e+05,2.032e+05
76.6,8.973e+04,3.054e+03,1.060e+05,1.988e+05
78.1,9.086e+04,2.535e+03,1.030e+05,1.964e+05
79.6,9.630e+04,2.939e+03,1.026e+05,2.018e+05
81.1,1.068e+05,5.114e+03,1.062e+05,2.181e+05
82.7,1.338e+05,9.445e+03,1.207e+05,2.640e+05
84.2,1.660e+05,1.486e+04,1.341e+05,3.150e+05
85.7,1.701e+05,1.688e+04,1.241e+05,3.111e+05
87.2,1.346e+05,1.333e+04,8.766e+04,2.356e+05
88.7,1.084e+05,1.116e+04,6.207e+04,1.816e+05
90.2,9.627e+04,1.120e+04,4.952e+04,1.570e+05
91.7,7.722e+04,1.126e+04,3.576e+04,1.242e+05
93.2,5.074e+04,1.105e+04,2.115e+04,8.294e+04
94.7,2.876e+04,1.051e+04,1.113e+04,5.040e+04
96.2,1.962e+04,9.893e+03,6.926e+03,3.644e+04
97.7,1.479e+04,9.050e+03,4.659e+03,2.850e+04
99.2,1.108e+04,7.713e+03,2.802e+03,2.160e+04
100.7,7.925e+03,6.366e+03,1.704e+03,1.600e+04
102.2,4.604e+03,5.818e+03,2.368e+03,1.279e+04
103.7,2.659e+03,7.235e+03,5.144e+03,1.504e+04
105.2,2.856e+03,9.784e+03,8.182e+03,2.082e+04
106.7,4.946e+03,1.066e+04,1.058e+04,2.618e+04
108.2,7.666e+03,1.182e+04,1.186e+04,3.135e+04
109.7,9.024e+03,1.269e+04,1.103e+04,3.275e+04
111.2,9.712e+03,1.295e+04,1.013e+04,3.279e+04
112.7,9.854e+03,1.297e+04,9.079e+03,3.190e+04
114.2,1.001e+04,1.191e+04,8.279e+03,3.021e+04
115.7,1.046e+04,8.672e+03,7.701e+03,2.683e+04
117.2,1.118e+04,6.337e+03,6.941e+03,2.446e+04
118.7,1.115e+04,6.659e+03,5.679e+03,2.349e+04
120.2,1.100e+04,7.868e+03,4.933e+03,2.380e+04
121.7,1.034e+04,9.099e+03,4.702e+03,2.414e+04
123.2,9.374e+03,1.026e+04,4.826e+03,2.446e+04
124.7,8.585e+03,1.134e+04,5.177e+03,2.510e+04
